source,page,content
/content/drive/MyDrive/PROJECT-RAG SMARTPLANPLANTING/Data/คู่มือเกษตร/สถิติการเกษตรของประเทศไทย ปี 2567.pdf,4,สถิติการเกษตรของประเทศไทย Agricultural Statistics of Thailand IV 6. ข้าวนาปรัง หมายถึง ข้าวที่เพาะปลูกระหว่างวันที่ 1 พฤศจิกายน ถึง 30 เมษายน ของปีถัดไป ยกเว้นภาคใต้ฝั่งตะวันออก 6 จังหวัด ได้แก่ จังหวัดนครศรีธรรมราช สงขลา พัทลุง ปัตตานี ยะลา และนราธิวาส ที่เพาะปลูกระหว่างวันที่ 1 มีนาคม ถึง 15 มิถุนายน ของปีเดียวกัน 7. ข้าวโพดเลี้ยงสัตว์ หมายถึง ข้าวโพดเลี้ยงสัตว์ที่เพาะปลูกเพื่อนำาเมล็ดมาใช้ผสมเป็นอาหารสัตว์ และผลิตภัณฑ์อื่น ๆ ยกเว้นข้าวโพดเลี้ยงสัตว์ที่ทำาการเพาะปลูกเพื่อผลิตเป็นเมล็ดพันธุ์โดยเฉพาะ ทั้งของหน่วยงานราชการและเอกชน เช่น ศูนย์วิจัยเมล็ดพันธุ์ ศูนย์ผลิตเมล็ดพันธุ์ของเอกชน และ เกษตรกรที่ปลูกโดยมีวัตถุประสงค์เพื่อผลิตเมล็ดพันธุ์ 7.1 ข้าวโพดเลี้ยงสัตว์ รุ่น 1 (ฤดูฝน) แบ่งออกเป็น 1) ข้าวโพดเลี้ยงสัตว์รุ่น 1 ต้นฤดูฝน หมายถึง ข้าวโพดเลี้ยงสัตว์ที่ทำาการเพาะปลูกระหว่าง วันที่ 1 มีนาคม ถึง วันที่ 31 กรกฎาคม ของปีเดียวกัน 2) ข้าวโพดเลี้ยงสัตว์รุ่น 1 ปลายฤดูฝน หมายถึง ข้าวโพดเลี้ยงสัตว์ที่ทำาการเพาะปลูกระหว่าง วันที่ 1 สิงหาคม ถึงวันที่ 31 ตุลาคม ของปีเดียวกัน 7.2 ข้าวโพดเลี้ยงสัตว์
/content/drive/MyDrive/PROJECT-RAG SMARTPLANPLANTING/Data/คู่มือเกษตร/สถิติการเกษตรของประเทศไทย ปี 2567.pdf,4,วันที่ 1 สิงหาคม ถึงวันที่ 31 ตุลาคม ของปีเดียวกัน 7.2 ข้าวโพดเลี้ยงสัตว์ รุ่น 2 (ฤดูแล้ง) หมายถึง ข้าวโพดเลี้ยงสัตว์ที่ทำาการเพาะปลูกระหว่าง วันที่ 1 พฤศจิกายน ถึงวันที่ 28 กุมภาพันธ์ ของปีถัดไป 8. ถั่วเหลือง หมายถึง ถั่วเหลืองที่เพาะปลูกและเก็บเกี่ยวผลผลิตเพื่อนำาเมล็ดมาใช้บริโภคและใช้ใน อุตสาหกรรมอาหารต่าง ๆ เช่น น้ำามันพืช เต้าเจี้ยว เต้าหู้ ตลอดจนนำา ไปผสมเป็นอาหารสัตว์ แต่จะไม่รวมถั่วเหลือง ที่ปลูกเพื่อเก็บฝักสดนำามาต้ม ที่เรียกว่า “ถั่วแระ” ไม่รวมถั่วเหลืองที่ปลูก และไถกลบในระยะออกดอกเพื่อเป็นปุ๋ยพืชสด และไม่รวมถั่วเหลืองที่ทำาการเพาะปลูกเพื่อผลิตเป็น เมล็ดพันธุ์โดยเฉพาะ ทั้งของหน่วยงานราชการและเอกชน เช่น ศูนย์วิจัยเมล็ดพันธุ์ ศูนย์ผลิตเมล็ด พันธุ์ของเอกชน และที่ปลูกโดยมีวัตถุประสงค์เพื่อผลิตเมล็ดพันธุ์โดยเฉพาะ 8.1 ถั่วเหลือง รุ่น 1 (ฤดูฝน) หมายถึง ถั่วเหลืองที่ทำาการเพาะปลูกระหว่างวันที่ 1 พฤษภาคม ถึง 31 ตุลาคม ของปีเดียวกัน โดยไม่คำานึงถึงว่าจะทำาการเก็บเกี่ยวผลผลิตเมื่อใดก็ตาม 8.2 ถั่วเหลือง รุ่น 2 (ฤดูแล้ง) หมายถึง ถั่วเหลืองที่ทำาการเพาะปลูกระหว่างวันที่ 1 พฤศจิกายน ถึง 30
/content/drive/MyDrive/PROJECT-RAG SMARTPLANPLANTING/Data/คู่มือเกษตร/สถิติการเกษตรของประเทศไทย ปี 2567.pdf,16,ลักษณะผลผลิตและชั้นคุณภพสินค้เกษตร สถิติการเกษตรของประเทศไทย Agricultural Statistics of Thailand XVI สินค้ ลักษณะผลผลิต ชั้นคุณภพสินค้เกษตร 1. ข้าวรวม เมล็ดข้าวเปลือกที่นวดออกจากรวงข้าวแล้ว โดยน้ำาหนัก ณ ความชื้น 15% ราคาเฉลี่ยถ่วงน้ำาหนัก ข้าวเปลือกเจ้านาปี ความชื้น 15% ข้าวเปลือกเจ้าหอมมะลิ 100% ข้าวเปลือกเหนียวนาปีเมล็ดยาว และ ข้าวเปลือกเจ้านาปรัง ความชื้น 15% 2. ข้าวนาปี เมล็ดข้าวเปลือกที่นวดออกจากรวงข้าวแล้ว โดยน้ำาหนัก ณ ความชื้น 15% ราคาเฉลี่ยถ่วงน้ำาหนัก ข้าวเปลือกเจ้านาปี ความชื้น 15% ข้าวเปลือกเจ้าหอมมะลิ 100% และข้าวเปลือกเหนียวนาปีเมล็ดยาว ความชื้น 15% 3. ข้าวนาปรัง เมล็ดข้าวเปลือกที่นวดออกจากรวงข้าวแล้ว โดยน้ำาหนัก ณ ความชื้น 15% ข้าวเปลือกเจ้านาปรัง ความชื้น 15% 4. ข้าวโพด เลี้ยงสัตว์ เมล็ดข้าวโพดเลี้ยงสัตว์ที่สีออกจากฝักแล้ว โดยน้ำาหนัก ณ ความชื้น 14.5% ข้าวโพดเลี้ยงสัตว์ ความชื้น 14.5% 5. มันสำาปะหลัง โรงงาน หัวมันสดที่ผ่านการทำาความสะอาด เบื้องต้นแล้ว หัวมันสำาปะหลังสดคละ 6. อ้อยโรงงาน ลำาต้นอ้อยที่ตัดใบ และยอดออกแล้ว อ้อยสดส่งโรงงาน 7. ปาล์มน้ำามัน
/content/drive/MyDrive/PROJECT-RAG SMARTPLANPLANTING/Data/คู่มือเกษตร/สถิติการเกษตรของประเทศไทย ปี 2567.pdf,30,"ข้าว: Rice ประเทศ เนื้อที่เก็บเกี่ยว (1,000 ไร่) Harvested area (1,000 rais) ผลผลิต (1,000 ตัน)1/ Production (1,000 tons) ผลผลิตต่อไร่ (กก.ต่อไร่)1/ Yield (kg/rai) Countries 2565/66 2022/23 2566/67 2023/24 2567/68 2024/25 2565/66 2022/23 2566/67 2023/24 2567/68 2024/25 2565/66 2022/23 2566/67 2023/24 2567/68 2024/25 รวมทั้งโลก1,034,973 1,037,931 1,050,777 517,309 522,510 532,489 500 503 507 World Total จีน 184,063 180,931 181,250 145,946 144,620 146,000 793 799 806 China อินเดีย 298,950 298,925 306,250 135,755 137,825 142,000 454 461 464 India บังกลาเทศ 72,500 73,438 73,125 36,350 37,000 37,300 501 504 510 Bangladesh อินโดนีเซีย 70,625 68,750 70,000 33,900 33,020 34,000 480 480 486 Indonesia เวียดนาม 44,500 43,750 43,438 27,140 26,625 26,500 610 609 610 Vietnam ไทย 2/ 70,073 68,081 70,364f 22,196 20,993 22,154f 316 324 318f Thailand 2/ ฟิลิปปินส์ 30,300 29,650 29,375 12,625 12,325 12,300 417 416 419 Philippines เมียนมา 42,500 42,500 42,500 11,800 11,900 12,100 278 280 285 Myanmar"
/content/drive/MyDrive/PROJECT-RAG SMARTPLANPLANTING/Data/คู่มือเกษตร/สถิติการเกษตรของประเทศไทย ปี 2567.pdf,30,"417 416 419 Philippines เมียนมา 42,500 42,500 42,500 11,800 11,900 12,100 278 280 285 Myanmar ปากีสถาน 18,594 22,731 23,750 7,322 9,869 10,000 394 434 421 Pakistan บราซิล 9,250 10,031 10,000 6,822 7,200 7,500 738 718 750 Brazil อื่น ๆ 193,619 199,144 200,725 77,453 81,133 82,635 400 407 412 Others รูปที่ 1.1 ข้าว: เนื้อที่เก็บเกี่ยว ผลผลิต และผลผลิตต่อไร่ ของประเทศผู้ผลิตที่ สำาคัญ 10 อันดับแรก ปี 2567/68 Figure 1.1 Rice: Harvested area, production and yield of top 10 major countries, 2024/25 ที่มา: กระทรวงเกษตรสหรัฐอเมริกา หมายเหตุ: 1/ ข้าวสาร 2/ ข้อมูลประเทศไทยปรับปรุงโดย สำานักงานเศรษฐกิจการเกษตร อันดับเรียงตาผลผลิต ข้อมูล ณ 8 ม.ค. 2568 Source: United States Department of Agriculture Remark: 1/ Milled rice 2/ Thailand information was updated by Office of Agricultural Economics. Sorted by production Data as of 8 January 2025 ตารางที่ 1.1 ข้าว: เนื้อที่เก็บเกี่ยว ผลผลิต และผลผลิตต่อไร่ของประเทศผู้ผลิตที่สำาคัญ 10 อันดับแรก ปี 2565/66-2567/68 Table 1.1 Rice: Harvested area,"
/content/drive/MyDrive/PROJECT-RAG SMARTPLANPLANTING/Data/คู่มือเกษตร/สถิติการเกษตรของประเทศไทย ปี 2567.pdf,31,"ข้าว: Rice ปี เนื้อที่เพาะปลูก (1,000 ไร่) Planted area (1,000 rais) เนื้อที่เก็บเกี่ยว (1,000 ไร่) Harvested area (1,000 rais) ผลผลิต1/ (1,000 ตัน) Production (1,000 tons) ผลผลิตต่อไร่1/ (กก./ไร่) Yield (kg/rai) ราคา ที่เกษตรกรขายได้ (บาท/ตัน) Farm gate price (Baht/ton) มูลค่าของผลผลิต (ล้านบาท) Value of production (Million Baht) Year 2558 58,063 55,096 24,312 441 9,070 220,506 2015 2559 58,645 56,546 25,236 446 8,073 203,733 2016 2560 59,221 54,963 24,934 454 8,817 219,846 2017 2561 59,981 55,627 25,178 453 9,711 244,513 2018 2562 61,197 54,108 24,064 445 10,099 243,016 2019 2563 62,438 60,094 26,424 440 8,986 237,457 2020 2564 63,013 60,261 26,807 445 8,362 224,146 2021 2565 62,838 59,492 26,712 449 10,548 281,758 2022 2566 62,098 60,287 26,934 447 11,332 305,214 2023 2567 62,020f 60,280f 27,007f 448f 11,022 297,669 2024 รูปที่ 1.2 ข้าวนาปี: เนื้อที่ ผลผลิต ผลผลิตต่อไร่ และราคาที่เกษตรกรขายได้ ปี 2558-2567 Figure 1.2 Major Rice: Area, production, yield and farm gate price, 2015-2024"
/content/drive/MyDrive/PROJECT-RAG SMARTPLANPLANTING/Data/คู่มือเกษตร/สถิติการเกษตรของประเทศไทย ปี 2567.pdf,31,"ปี 2558-2567 Figure 1.2 Major Rice: Area, production, yield and farm gate price, 2015-2024 หมายเหตุ: 1/ข้าวเปลือก Remark: 1/paddy ตารางที่ 1.2 ข้าวนาปี: เนื้อที่ ผลผลิต ผลผลิตต่อไร่ ราคาที่เกษตรกรขายได้ และมูลค่าของผลผลิต ปี 2558-2567 Table 1.2 Major Rice: Area, production, yield, farm gate price and value of production, 2015-2024 สถิติการเกษตรของประเทศไทย Agricultural Statistics of Thailand 3"
/content/drive/MyDrive/PROJECT-RAG SMARTPLANPLANTING/Data/คู่มือเกษตร/สถิติการเกษตรของประเทศไทย ปี 2567.pdf,32,"ข้าว: Rice ตารางที่ 1.3 ข้าวนาปี: เนื้อที่ ผลผลิต และผลผลิตต่อไร่ เป็นรายภาค และรายจังหวัด ปี 2565-2567 Table 1.3 Major Rice: Area, production and yield by region and province, 2022-2024 ภาค/จังหวัด เนื้อที่เพาะปลูก (ไร่)Planted area (rai) เนื้อที่เก็บเกี่ยว (ไร่)Harvested area (rai) ผลผลิต (ตัน)Production (ton) ผลผลิตต่อไร่ (กก./ไร่)Yield (kg/rai) Region/ Province2565 2022 2566 2023 2567f 2024 2565 2022 2566 2023 2567f 2024 2565 2022 2566 2023 2567f 2024 2565 2022 2566 2023 2567f 2024 รวมทั้งประเทศ62,838,047 62,098,14262,019,71059,491,82560,287,29760,279,61126,711,735 26,933,80827,006,767 449 447 448 Whole Kingdom เหนือ 15,033,850 14,678,64614,752,10014,561,71714,349,60314,400,805 8,334,990 8,133,428 8,191,988 572 567 569 Northern ตะวันออกเฉียงเหนือ38,577,000 38,207,88438,072,00035,840,85136,829,03336,780,67212,974,098 13,379,42713,412,918 362 363 365 Northeastern กลาง 8,621,715 8,614,858 8,607,937 8,489,129 8,526,722 8,523,482 5,117,877 5,146,818 5,128,864 603 604 602 Central ใต้"
/content/drive/MyDrive/PROJECT-RAG SMARTPLANPLANTING/Data/คู่มือเกษตร/สถิติการเกษตรของประเทศไทย ปี 2567.pdf,33,"ข้าว: Rice ตารางที่ 1.3 ข้าวนาปี: เนื้อที่ ผลผลิต และผลผลิตต่อไร่ เป็นรายภาค และรายจังหวัด ปี 2565-2567 (ต่อ) Table 1.3 Major Rice: Area, production and yield by region and province, 2022-2024 (Continued) ภาค/จังหวัด เนื้อที่เพาะปลูก (ไร่)Planted area (rai) เนื้อที่เก็บเกี่ยว (ไร่)Harvested area (rai) ผลผลิต (ตัน)Production (ton) ผลผลิตต่อไร่ (กก./ไร่)Yield (kg/rai) Region/ Province2565 2022 2566 2023 2567f 2024 2565 2022 2566 2023 2567f 2024 2565 2022 2566 2023 2567f 2024 2565 2022 2566 2023 2567f 2024 บุรีรัมย์ 2,998,520 2,956,900 2,952,803 2,823,772 2,871,118 2,868,920 1,042,769 1,060,889 1,069,500 369 370 373 Buri Ram มหาสารคาม 2,130,023 2,108,431 2,100,565 1,886,774 2,030,492 2,027,556 683,211 730,671 739,034 362 360 364 Maha Sarakham ร้อยเอ็ด3,094,018 3,074,106 3,069,560 2,729,199 2,882,260 2,909,084 947,627 994,627 1,008,158 347 345 347 Roi Et กาฬสินธุ์ 1,505,471 1,495,263 1,491,630 1,417,369 1,367,037 1,389,166 528,027 505,075 520,054 373 369 374 Kalasin ขอนแก่น 2,402,112"
/content/drive/MyDrive/PROJECT-RAG SMARTPLANPLANTING/Data/คู่มือเกษตร/สถิติการเกษตรของประเทศไทย ปี 2567.pdf,34,"ข้าว: Rice ภาค/จังหวัด เนื้อที่เพาะปลูก (ไร่)Planted area (rai) เนื้อที่เก็บเกี่ยว (ไร่)Harvested area (rai) ผลผลิต (ตัน)Production (ton) ผลผลิตต่อไร่ (กก./ไร่)Yield (kg/rai) Region/ Province2565 2022 2566 2023 2567f 2024 2565 2022 2566 2023 2567f 2024 2565 2022 2566 2023 2567f 2024 2565 2022 2566 2023 2567f 2024 สุราษฎร์ธานี 16,677 14,815 14,607 16,672 14,806 14,556 5,242 4,476 4,311 314 302 296 Surat Thani พังงา 2,039 1,932 1,890 2,039 1,932 1,890 713 656 661 350 340 350 Phang Nga ภูเก็ต 45 43 43 45 43 43 20 19 20 444 442 465 Phuket กระบี่ 6,257 6,616 6,548 6,247 6,601 6,529 1,976 2,031 2,041 316 308 313 Krabi ตรัง 9,487 9,050 9,029 9,487 9,050 9,029 3,827 3,293 3,316 403 364 367 Trang นครศรีธรรมราช 172,946 162,578 161,405 168,886 156,372 155,859 83,319 75,434 75,602 493 482 485 Nakhon Si Thammarat พัทลุง 112,418 110,211 109,109 112,072 108,986 107,912 51,081 50,457 50,183 456 463 465 Phatthalung สงขลา 153,596 160,829 158,801 152,875 155,549 153,818 82,013 85,217 84,886 536 548 552"
